Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
414,Chuma Okeke,PF,23,ORL,54,12,24.2,3.1,8.1,0.382,1.5,4.9,0.311,1.6,3.2,0.491,0.476,0.7,0.9,0.848,0.7,4.1,4.9,1.7,1.5,0.6,0.8,1.3,8.4
415,Josh Okogie,SG,23,MIN,36,6,11.7,0.7,2.1,0.347,0.3,1,0.278,0.4,1.1,0.41,0.413,0.8,1.1,0.659,0.7,1.1,1.8,0.5,0.5,0.3,0.6,1.2,2.5
416,Onyeka Okongwu,C,21,ATL,29,6,21.1,3.6,4.8,0.741,0,0,0,3.6,4.8,0.741,0.741,1.7,2.3,0.731,2.1,3.2,5.3,1.2,0.7,1.4,1.1,3.2,8.8
417,Isaac Okoro,SF,21,CLE,49,43,28.8,3.1,6.8,0.464,0.8,2.6,0.31,2.3,4.2,0.558,0.523,1.8,2.3,0.774,1.1,2.1,3.2,1.8,0.8,0.3,1,2.6,8.9
418,KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,1,2,0.488,0.5,0.4,0.5,0.727,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,3.7
419,Cameron Oliver,SF,25,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5
420,Kelly Olynyk,C,30,DET,27,1,19.8,3.3,8,0.414,1.1,3.3,0.337,2.2,4.7,0.468,0.484,1.5,2.1,0.707,1.5,3.3,4.8,2.8,0.8,0.5,1.5,2.5,9.2
421,Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,1,0.5,0.5,1.3,1.8,0.5,0,0,0,0.5,1.8
422,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3
423,Cedi Osman,SF,26,CLE,52,3,23.4,4,9.3,0.428,2.1,5.8,0.365,1.8,3.5,0.533,0.543,1.4,2.1,0.657,0.4,1.8,2.2,2.1,0.9,0.2,1.1,1.9,11.4
424,Daniel Oturu,C,22,TOR,3,0,9,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,1,1.7,0.6,0.3,1.3,1.7,0,0,0.7,0,0.3,3
425,Kelly Oubre Jr.,SF,26,CHO,59,13,28.4,5.9,13.5,0.435,2.8,8.1,0.345,3.1,5.4,0.569,0.538,1.8,2.7,0.671,1.1,3,4.1,1.2,1.2,0.4,1,2.6,16.3
426,Jaysean Paige,PG,27,DET,1,0,7,0,3,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,2,0
427,Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,2,0
